1	0
2	0
3	1
4	0
5	0
6	1
21	0
22	0
23	0
24	0
25	0
26	0
28	0
29	0
31	0
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
51	0
54	0
92	0
113	0
114	0
127	1
142	0
143	0
144	0
200 1
201 1
202 1
300 1
301 1
302 1
303 1
401 0
402 1
403 0
501 0
502 0
503 0
601 0
602 1
603 1
604 1
605 0
606 0
607 0
701 0
702 0
703 0
704 0
705 0
801 0
802 0
803 0
804 0
805 0
806 0
807 0
808 0
809 0
810 0
811 0
812 0
813 0
814 0
815 0
816 0
817 0
901 1
902 1
903 1
