1	0.20
2	0.30
3	0.00
4	0.20
5	0.20
6	0.00
21	0.20
22	0.20
23	0.20
24	0.20
25	0.00
26	0.30
28	0.20
29	0.20
31	0.20
41	0.00
42	0.00
43	0.00
44	0.00
45	0.00
46	0.00
47	0.00
48	0.00
51	1.00
54	0.30
92	0.15
113	0.15
114	0.20
127	0.00
142	0.20
143	0.20
144	0.20
200 0.00
201 0.00
202 0.00
300 0.00
301 0.00
302 0.00
303 0.00
401 0.20
402 0.00
403 0.00
501 0.20
502 0.00
503 0.00
601 0.00
602 0.00
603 0.00
604 0.00
605 0.00
606 0.00
607 0.00
701 0.30
702 0.30
703 0.30
704 1.00
705 0.30
801 0.20
802 0.15
803 0.00
804 0.20
805 0.20
806 0.20
807 0.20
808 0.20
809 0.20
810 0.20
811 0.20
812 0.20
813 0.20
814 0.20
815 0.20
816 0.20
817 0.20
901 0.00
902 0.00
903 0.00
0	-9999
999	-9999
-9999	-9999
